What is your native language?,How would you rate your English proficiency?,How many hours per day do you spend speaking English?,Can you watch TV in English without subtitles?,How often do you use variable names transcribed from your language while coding? ,How would you rate your coding proficiency?,How many years have you worked coding (not including higher education),Which of the following is a Boolean?,Which website do you use for coding help?,1. How would you name this piece of code?,1. How easy was this code to understand?,2. How would you name this piece of code?,2. How easy was this code to understand?,3. How would you name this piece of code?,3. How easy was this code to understand?,4. How would you name this piece of code?,4. How easy was this code to understand?,5. How would you name this piece of code?,5. How easy was this code to understand?,6. How would you name this piece of code?,6. How easy was this code to understand?
Russian,3,1,1.0,1,4,5-10,True,StackOverflow,Get factorial of C and cache the result,1,removing spaces from input and turn result case to camelCase,1,return the sum of digits in number,1,Check if provided sequence is a palindrome,1,Return the number that is most presented in provided sequence,2,return the sum of squares in provided sequence,1
Russian,3,1,1.0,1,3,5-10,True,StackOverflow,функция,5,get_camelcase,4,get_digit_sum,4,find_uniq_in_array,5,get_most_common_values,5,get_squares_sum_from_list,5
Ukranian,4,1,0.0,1,3,2-5,True,StackOverflow,recursion,3,Camel case,1,Sum of digits,2,Palindrome,1,Most frequent in array,2,Sum of squares,1
Ukranian,3,2,1.0,5,4,10+,True,StackOverflow,Factorial,2,Convert string to camel case,1,Digits summary,1,Mirror string,1,Most frequency number,1,Sum of numbers squares,1
Korean,4,2,1.0,5,4,2-5,True,StackOverflow,1,3,,3,2,3,5,3,5,3,1,3
Chinese,5,10,1.0,2,5,2-5,True,StackOverflow,factorial,3,cmlcase,3,各位數數字和,5,檢測序列是否對稱,5,找出最長出現的元素,5,找平方和,5
Chinese,3,3,0.0,3,5,10+,True,ByteNexus,,3,,3,,0,,0,,0,,0
Hebrew,5,0,1.0,1,3,2-5,True,StackOverflow,StoreMulByPrev,2,ToLowerCamelCase,1,DigitSum,1,IsPalindrome,1,MostFrequentNum,1,SumOfSquares,1
English,0,0,,0,3,0-1,True,StackOverflow,,3,Sentence splitter,3,Sum of digit values,2,Symmetry check,2,Which number is most common,2,Squared norm,2
Hebrew,4,0,1.0,1,2,0-1,True,StackOverflow,Recursion,2,For loop,2,While loop,1,If statement nested in a while loop,1,"If, else statements nested in for loops",2,For loop,1
Korean,2,10,0.0,5,3,2-5,True,CodeHub,factorial_list,1,small_letter,1,sum_digit,1,Symmetry,1,most_freq,2,sum_squares,1
Korean,3,0,0.0,1,2,2-5,True,CodeHub,Self something,4,Idontknow,5,Sum divide,3,decalcomanie,3,,5,,3
Korean,3,2,0.0,1,2,0-1,True,StackOverflow,재귀 또는 순환,3,,5,나머지의 합을 구하는 코드,1,정렬알고리즘??,3,빈도수가 가장 많은 문자 찾기,3,제곱근의 합,1
Hebrew,5,5,1.0,2,5,5-10,True,StackOverflow,factorial,3,camel case,4,digit sum,5,palindrom,3,most common in list,4,sum of squares,5
Hebrew,4,3,1.0,1,4,5-10,True,StackOverflow,רקורסיה,4,,3,סכום הספרות,1,2 pointers,2,מציאת המספר הפופולרי ביותר,2,סכום הריבועים,1
Arabic,4,0,1.0,2,3,0-1,True,StackOverflow,f,3,f,4,f,5,f,5,f,2,f,1
Arabic,5,6,1.0,2,2,0-1,"""Hello""",,,4,,5,,5,,3,,5,A list of numbers with one squared,4
French,4,1,0.0,1,3,10+,True,StackOverflow,recursive,4,String manipulation,2,calculate digits sum,1,Not clear,4,digit frequency,1,sum square,1
Arabic,3,1,0.0,3,4,2-5,True,StackOverflow,Factorial,4,Idk,5,DigitSum,1,If_same_elements,2,Most_common_frequnce,1,Vector_square,1
Arabic,5,2,1.0,1,4,0-1,True,StackOverflow,calculate_factorial,2,split_capatlize_start,2,sum_of_digits,1,is_palindrome,1,most_common_num_in_list,1,Square_sum_of_list,1
Chinese,3,0,0.0,1,2,2-5,True,StackOverflow,fi b,1,camelcase,1,,5,,5,,5,,5
Arabic,4,0,1.0,1,4,2-5,True,StackOverflow,Fibonacci,3,,0,sumDigets,4,,0,,0,SqaresSum,0
Arabic,5,0,1.0,1,4,0-1,True,StackOverflow,factorial,3,Magic text,4,Ten_remainings,2,Symmetric text,1,,0,,0
Arabic,4,0,1.0,1,4,0-1,True,StackOverflow,Fibo_func,4,First_Letter_cap,3,Sum_digits,1,Palindrome_func,3,Common_word_func,2,Square_sum,1
Arabic,4,0,1.0,1,1,0-1,True,CodeHub,بعرفش والله,4,بعرفشش,1,,0,,0,,0,,4
Hebrew,3,1,1.0,1,3,2-5,True,StackOverflow,Factorial,3,first word lower case other capitalized,3,digit sum,1,Palindrome checker,2,most common value in list,1,squares sum,1
Arabic,5,0,1.0,1,2,0-1,True,StackOverflow,f(c),2,f(sent),1,f(number),1,f(B),1,f(lst),4,f(number_list),1
Arabic,4,0,1.0,1,4,0-1,True,StackOverflow,Calculate,4,Change_to_opposite,1,digit_sum,1,is_polyndrome,2,Get_max_freq,1,Sum_squares,1
English,0,0,,0,4,0-1,True,StackOverflow,Power,3,CamelcaseString,2,SumDigits,1,IsAnagram,2,MostCommonNumber,2,SquaresSum,1
Arabic,5,1,1.0,1,4,0-1,True,StackOverflow,factorial,3,camelize,3,sum_digits,1,isPalindrome,2,get_most_frequent_char,2,get_square_sum,1
Arabic,5,2,1.0,1,5,2-5,True,StackOverflow,CountDownFactorial,5,getCamelCase,1,getNumberDigitSum,3,isPalindrom,1,getMostCommonElement,1,getSquaresSumFromList,1
Arabic,4,3,1.0,1,4,2-5,True,StackOverflow,factorial,4,CamelCase,4,sum_digits,5,is_palindrome,4,most_common,4,squares_sum,4
Chinese,3,0,0.0,1,4,5-10,True,CodeHub,def factorial(num):,3,def extract_data(sent),2,def sum_every_num(number):,2,def str_symmetry(word):,1,def count_num_max(lst):,1,def sum_square_lst(number_list):,1
Arabic,5,1,1.0,2,3,2-5,True,StackOverflow,Fibonacci,4,CamelCaseStringFormatter,4,NumberDigitSum,2,CheckPalindrome,2,FindMostFrequentMember,2,SquareSum,2
Chinese,4,5,1.0,1,4,10+,True,StackOverflow,"A: An array of x! (0,1,2...C);",2,First letter -> lower case; oathers capital,1,"e.g., 999 --> 9+9+9 = 27",1,A symmetric string?,1,find the most freq,2,sum of square of numbers,1
Chinese,4,1,0.0,1,3,2-5,True,StackOverflow,factorial,2,firstLowerCaseThenUpperCase,2,sumOfAllDigitsInANumber,1,searchIdenticalElementsInAnArray,1,elementWithMostFrequency,1,SumOfSquareNumber,1
English,0,0,,0,3,0-1,True,StackOverflow,calcFibonacci,5,convertToCamelCase,2,sumOfDigits,1,checkIfPalindrome,4,mostCommonNum,1,sumOfSquares,1
Hebrew,4,2,1.0,2,4,2-5,True,StackOverflow,Factorial (Recursion with cache),1,Convert string to camelcase,2,Sum digits,1,Is palindrome,2,Find most common element,2,Sum of squares,1
Arabic,5,1,1.0,1,3,0-1,True,StackOverflow,,1,Uppercase,5,Digit sum,3,Symettry,4,Mostusedword,3,Sumofsquares,4
Russian,5,4,1.0,1,4,10+,True,StackOverflow,factorial,4,string_to_camel_case,2,sum_of_digits,2,check_if_string_is_symmetrical,3,find_most_common_element_in_a_list,2,sum_of_squares,2
